,,,,,,,,,,
,,,,,,,,,,
,,,ID,Location,RSRP,RSRQ,SNR,,PLMN,31510
,,,0,"39.66729, -75.75751",-,-,-,,Band,n48
,,,1,"39.66808,-75.75586",-121,-11,4-5,,BW,40MHz
,,,2,"39.66683,-75.75693",-109,-10,12-14,,PCI,1
,,,3,"39.66685,-75.75579",-110,-10,14-19,,,
,,,4,"39.66527,-75.75938",-107,-11,18-20,,,
,,,5,"39.66555,-75.75819",-91,-12,25-30,,,
,,,6,"39.66568,-75.75554",-104,-10,20-22,,,
,,,7,"39.66556,-75.75432",-110,-10,13-15,,,
,,,8,"39.66564,-75.75653",-101,-10,16-22,,,
,,,9,"39.66378,-75.75896",-102,-10,16-24,,,
,,,10,"39.66387,-75.75771",-100,-10,18-26,,,
,,,11,"39.66420,-75.75548",-105,-10,10-20,,,
,,,12,"39.66405,-75.75474",-107,-10,17-18,,,
,,,13,"39.66349,-75.75833",-103,-10,20-30,,,
,,,14,"39.66376,-75.75721",-106,-10,9-20,,,
,,,15,"39.66286,-75.75747",-120,-13,3-4,,,
,,,16,"39.66298,-75.75538",-114,-19,9-13,,,
